"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
282.0,43122.0,1.0,401,171722.45622419813,1694459.336545637,5582010.836694979,3315253.051318813,121036.07858102588,1483259.8965034331,3316277.1599509427
564.0,26106.0,2.0,401,342151.1124809679,1757859.9453821697,5341630.931645631,3330078.457688976,832894.104164836,1829523.0702940752,3318787.1304149516
621.0,4443.0,3.0,401,181229.85931348926,1243142.15492391,5338432.22963318,3326839.7328406363,115603.45200321515,2181059.382571173,3316586.1023400156
484.0,32497.0,4.0,401,338373.43701064435,1385250.1435810137,5230218.5375144975,3329311.468662968,596721.4121134311,2300468.0359486807,3317675.7234762954
176.0,903.0,5.0,401,276128.2503245941,1177071.7652253835,5233732.945093247,3332825.8762417133,129422.317840807,2445211.1287681353,3316505.528537841
418.0,36869.0,6.0,401,347985.7696144476,1242009.6871673735,5195945.707476623,3324088.499145247,529353.1026007334,2479023.455000123,3316305.280471859
209.0,540.0,7.0,401,330049.68592431344,1178007.7257464165,5190731.536291979,3318812.2358942158,174143.5899418132,2523131.759858861,3314377.3531512986
395.0,33193.0,8.0,401,356061.2018837097,1197206.0418810605,5185678.174601987,3323645.044208103,504320.3862389117,2541780.788889816,3317420.2360955956
240.0,540.0,9.0,401,342496.4421446047,1161534.7964308565,5182044.349963381,3319975.9461617605,235850.2768811649,2560052.12389984,3313624.1843959386
391.0,34111.0,10.0,401,377855.5603479776,1192465.5264248678,5168717.186235939,3318811.7728589573,472273.0435775898,2573325.833557696,3311313.518736666
231.0,405.0,11.0,401,365597.14463763835,1166476.0039879426,5170597.563063755,3320690.054343867,255395.52543623035,2592470.527925169,3316727.106377554
433.0,32244.0,12.0,401,382245.1820887547,1165780.714953029,5170732.2652303055,3321076.1732954523,474498.1563234745,2606010.7098987945,3312716.230403588
269.0,546.0,13.0,401,377370.100334694,1147248.0352690185,5167895.273448373,3318209.715565025,297821.120563901,2620872.2547857,3313935.0754005765
321.0,36639.0,14.0,401,410222.58309958683,1177072.8431301666,5155658.2740587415,3321124.670026722,457362.0553123494,2634454.1611782718,3310478.5006714473
312.0,1126.0,15.0,401,397373.04488194507,1149663.914266799,5155399.226810534,3320844.5886159902,341182.75807590823,2652268.043572495,3313734.0682352493
372.0,1712.0,16.0,401,394079.1309043767,1143364.1127644128,5158396.573194337,3323822.7910635453,444398.11278509675,2665446.479368688,3323906.616506625
311.0,838.0,17.0,401,390027.6287023929,1123464.822056609,5151752.049858902,3317109.3105576388,363156.0686128519,2678327.3152738893,3320977.5778534724
373.0,25796.0,18.0,401,417512.4124523684,1128846.8550671986,5156049.952813717,3321423.323566016,457701.0640526975,2692926.787658464,3313534.623825819
502.0,10520.0,19.0,401,462455.3949424698,1167698.1593943809,5155300.380342958,3320662.7301803143,396319.51837521855,2705516.3994022417,3320033.7328122156
460.0,24798.0,20.0,401,477627.96775897784,1161876.1394930305,5154358.00868044,3320176.53852679,443148.1934683012,2718881.7654993446,3312055.573389241
501.0,19269.0,21.0,401,524068.9372177676,1200710.5927719567,5137563.769931501,3310705.9191833027,398663.2102977356,2732637.1540793725,3311297.6260428573
