"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
30.0,248.0,1.0,40,7352.253518208423,167102.47071831566,587408.7510709678,345197.5144083576,13693.268247063479,151734.08817472408,345897.58948803024
39.0,420.0,2.0,40,37824.84015422677,186281.75184065884,550641.83382403,345912.6711148797,71653.5163711286,198859.1058569844,346410.7201528579
15.0,62.0,3.0,40,13809.778919118326,123247.92823930703,550646.3512153788,345916.34508336225,11718.722223436243,237734.12584300947,346269.3909214046
21.0,380.0,4.0,40,28795.78387389336,130139.47826032613,545017.5285581675,345062.84005078825,56729.143649165926,249449.13140605486,345543.4536853068
23.0,46.0,5.0,40,26466.761549038194,122066.34956857152,544979.9340568112,345024.8064624857,13373.552602312286,255206.89317847532,345557.3247511736
21.0,377.0,6.0,40,29305.311485757218,125531.91864130493,544133.5954836425,346049.6173835902,54224.66382918574,258058.02449293245,347214.83129108086
24.0,38.0,7.0,40,28359.556714164966,119803.15635084569,543735.6390365384,345648.3101894521,18041.976266028483,262000.08156044557,346382.20708181954
19.0,520.0,8.0,40,35185.34560856879,126956.60781725586,541617.8577551947,345846.811092079,48627.5227291451,264465.3780122914,346863.0253437576
27.0,75.0,9.0,40,35053.97321362373,124386.19002297294,542088.3458694757,346317.2992063602,23188.30059497854,267286.7462870571,347247.4639422721
14.0,583.0,10.0,40,43320.77086961246,131489.55919273244,539425.3866838029,345794.5882454495,41978.269207832906,269979.31560985284,346744.58314088825
24.0,28.0,11.0,40,43228.84930465522,129119.94002424988,539346.7441911792,345715.055319587,19666.584630803718,272125.984351975,346614.85159494466
35.0,236.0,12.0,40,43597.04567324305,128176.880918739,539516.5004625404,345884.81159094814,45674.85633598298,273717.17648598907,346894.78825486003
23.0,24.0,13.0,40,43452.198497903824,125735.64614420333,538513.0927047678,344872.71217256284,18989.81539285052,274820.31480814744,345713.35332709935
36.0,73.0,14.0,40,43452.198497903824,124787.45482732746,538871.2494690059,345230.8689368008,49847.30639904248,276278.93223395507,346223.7794360312
31.0,49.0,15.0,40,43445.4610671969,122639.79575480013,538308.3326965485,344663.661548544,25564.89006276214,277830.4044978152,345640.2291137062
35.0,91.0,16.0,40,43637.316325593274,120853.84592137342,538797.1656787497,345152.4945307453,48943.08997909743,280512.98562104465,346345.0051451126
31.0,50.0,17.0,40,43489.178560525106,120310.66376585494,539150.7106044319,345506.0394564275,30140.69337662361,281491.18900125736,346928.16413487494
32.0,298.0,18.0,40,47573.087499993024,122214.00535602635,538464.7002700766,344810.21912408114,48062.82770888562,282528.94125938154,345796.6640446054
35.0,79.0,19.0,40,47508.081897386845,120181.24171011397,538489.31163279,344834.8304867946,35102.181645527286,284537.2537565838,345837.2184985014
34.0,58.0,20.0,40,47508.081897386845,119022.24285440156,538406.126803018,344750.7900837007,48568.17808237367,285774.77164834377,345915.737534549
38.0,74.0,21.0,40,47467.92153406632,117535.59464208098,538688.4405293158,345033.10380999837,40487.14475774859,287233.03211399534,345927.5101512004
28.0,473.0,22.0,40,53968.56677857088,123166.77268992797,537979.9631232271,344829.4485258056,45372.300818349395,288486.2687877308,345832.5391306227
53.0,230.0,23.0,40,58111.69045339036,127827.96481694748,537238.7657485843,345519.8698445556,39862.49718614668,290392.8365656025,346971.55712027237
31.0,37.0,24.0,40,58005.35580884501,124009.89020921873,536792.3373122861,345068.74177250924,40661.91249725481,293360.70954165317,346235.05515281414
41.0,88.0,25.0,40,59387.29262522821,124392.1720222438,536802.1212379619,345078.5256981851,46629.797217579384,294574.79278392135,346449.4833917241
46.0,99.0,26.0,40,59387.29262522821,122568.34596968736,536542.7523672765,344816.8683327248,44253.29966866745,295773.8889135494,345830.93891357724
44.0,131.0,27.0,40,61303.6280078311,123161.14878486042,536198.3422691162,344468.4301269566,48736.29498743215,296774.4640159455,345511.1790472073
50.0,112.0,28.0,40,61347.67788168039,123012.78727129663,536631.6521078566,344901.739965697,46361.995143001106,297681.7378658333,346226.04150968185
45.0,133.0,29.0,40,63407.02422421849,124321.94068619133,536816.4310590256,345145.56418715324,50092.24110516397,298859.793125553,346595.0823971731
49.0,200.0,30.0,40,64528.20098163152,125255.16036176619,534884.5633926806,344891.1136168427,47312.38123031906,300269.3736297038,346212.1286141794
45.0,127.0,31.0,40,65338.235172922876,125077.03516484909,534353.7580290118,344770.0936770854,50828.5889900985,301415.9824204592,346014.7911005089
48.0,340.0,32.0,40,68699.9882388538,128037.86536593524,533578.0727674155,344656.8650606518,48297.2916980973,302247.5342840379,345804.0137030715
54.0,114.0,33.0,40,68437.99416902059,126835.5770449895,533627.2127375334,344935.2199561175,49549.321538597615,303893.80807874823,346288.35691994405
42.0,77.0,34.0,40,68437.99416902059,125570.06396069378,533542.1306832951,344849.4941584653,50746.61135464411,305017.5393541758,346147.97889136174
