"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
303.0,40604.0,1.0,401,183807.5708098138,1784112.0602280842,5706918.785300917,3361335.061952147,117995.53140616401,1573246.4995540346,3428390.604842091
482.0,23423.0,2.0,401,346587.64419543,1615967.476257312,5387032.523400449,3224199.774103465,897050.7236262828,1963934.4421982353,3317486.826836103
307.0,4425.0,3.0,401,236860.53431649174,1209671.7443269838,5280589.825663591,3116549.8383436087,277172.3464260512,2228112.2532928926,3285675.3154344084
439.0,26350.0,4.0,401,338108.97991658375,1374505.764067077,5253754.377489325,3143958.3343963283,627349.4917671814,2343300.051890336,3413520.236245636
447.0,15747.0,5.0,401,314365.48774617404,1100343.9677769155,5177420.258600285,3069812.306686952,392232.8935141112,2410562.832092905,3229316.2053348827
578.0,14646.0,6.0,401,324852.38511978346,1221182.8758800232,5236294.590131724,3138242.637897169,526723.4226609835,2444158.965811249,3364544.999558611
169.0,253.0,7.0,401,285341.16117939993,1263717.5101971203,5152440.253871767,3053491.9092873475,238587.41662476317,2533594.250331819,3536031.0587079506
336.0,31412.0,8.0,401,363435.0349818276,1210015.3925532962,5221630.897206198,3148227.7564153876,507378.5852242162,2573221.476196677,3421144.6080698837
225.0,562.0,9.0,401,342775.7418230417,1136547.7511981477,4937465.303456776,2861038.710261698,238015.52020289592,2604116.5310319467,3400143.9135251916
477.0,31614.0,10.0,401,387706.5171624885,1219438.3049763213,4972205.678621647,2911085.0851697153,517667.1249491829,2618923.454323615,3439121.299347258
242.0,574.0,11.0,401,367482.35492845165,1058462.2525660605,4719822.331849222,2656168.7839630907,264397.29569692485,2645809.7068003775,3326411.5529411174
431.0,40139.0,12.0,401,476761.6589882461,1187221.8939255767,4790305.106749799,2785514.731538874,434395.3747384396,2659013.31148717,3303238.771389512
243.0,856.0,13.0,401,428651.7422218314,1130095.607204308,4810514.5502312435,2805100.141251811,265768.12949293974,2723153.373505105,3359006.6477379217
328.0,45985.0,14.0,401,538099.2731311899,1052796.1585364058,4619388.8566764165,2666695.81140547,390803.1982002866,2727494.8457040037,3128148.520232221
250.0,501.0,15.0,401,497863.49218426435,1249597.1485229838,4585365.79663527,2632141.1742378357,281342.3442095015,2785503.3120802627,3423193.7575419834
105.0,107.0,16.0,401,435543.12813476956,1215122.342715344,4690381.889255333,2737157.266857896,194242.46547207457,2865869.3154413113,3531872.175117225
308.0,805.0,17.0,401,435317.83403714874,1049440.7902207286,4659663.810003704,2706056.302196989,388371.3364630958,2876310.908539626,3378451.248905305
251.0,453.0,18.0,401,434829.72376894834,1091513.0508979838,4605945.148863559,2651610.2475032737,299210.1992251253,2893599.837107532,3438342.2261217344
397.0,11453.0,19.0,401,466510.56378941104,1005297.2992082154,4684283.100039159,2729880.913067999,456736.8600975913,2905678.5821389933,3333660.584236701
342.0,779.0,20.0,401,465673.84898106515,1032241.5314191555,4577734.784317371,2622238.6421372504,377481.58134400006,2920430.4111119034,3376573.2086465335
451.0,25407.0,21.0,401,543169.2534182757,1056313.451430357,4748189.027225618,2823197.8625200544,449023.12828787667,2940381.9012274262,3315691.9104096764
