Loans,Loan requests,tick,Banks,Total central bank loans,Total cash & reserve,Total client loans,Total current accounts,Total interbank loans,Total securities,Total term deposits
248,544,110,386,1344650.88179277,965516.700749429,3252707.07265856,2098194.03977966,282444.670578787,3926722.85668991,2781081.51296472
86,122,111,386,1208514.05962412,840920.982207051,3129927.13857271,1974225.15297813,115525.3399284,3929251.18678129,2796057.48376905
238,401,112,386,1184786.27446894,867097.590161658,2974747.60727437,1816909.75533199,234546.194436421,3929504.10037153,2846874.52235365
202,361,113,386,1110711.66185216,783514.525433738,3430697.80691817,2272735.05887939,247915.18919969,3930176.90634,2838449.14087917
249,477,114,386,1082760.91958556,806512.462911269,3579532.81439908,2421548.74562813,281901.750016982,3934481.52548947,2895078.4142342
133,198,115,386,811729.169939799,790235.135557269,3202539.74633151,2040971.45788431,196241.443451284,3936308.86705694,3153004.30898647
383,33632,116,386,853497.361421491,522322.163922279,3486535.741576,2324442.31630344,393552.615668096,3937568.17231,2847699.22247676
426,2775,117,385,848206.602804133,532325.188308591,3482846.5794853,2327032.35886122,441869.475434754,3931491.42639296,2857311.25785034
238,390,118,383,811061.493595865,782605.668964783,3319315.13072387,2155694.5731711,217110.469154467,3910816.43291876,3130092.67305197
290,670,119,383,807257.199983835,573271.587505808,3078824.50983187,1912714.76408721,301049.548158392,3910816.43291876,2926597.83359955
189,334,120,383,769361.818663373,747138.437469234,3303025.16800496,2136823.30510096,262759.49571338,3911833.15548846,3139518.13255496
295,511,121,382,765564.560281048,541263.376239184,3161942.50826149,1998453.20024192,393997.817397016,3900804.31323402,2926937.77313274
208,69511,122,380,1408251.48205358,762656.221758056,3019664.28067952,1881910.10894866,240014.750207156,3879292.42899287,2463971.08374477
296,40451,123,380,1486600.99815075,1245836.01691451,3952079.20477324,2900174.98596117,399913.570550035,3895634.84817525,2810848.56164375
149,297,124,378,875455.964235326,795131.479085651,3489801.28543974,2429400.07367276,200070.049585263,3915437.0880982,2989017.75205401
204,345,125,378,808977.456240818,621066.463686462,3097284.6345308,2032902.79506173,261540.799713312,3915437.0880982,2882908.62650599
283,60173,126,377,1065556.56260591,696625.496526985,3649162.41166694,2589631.19205371,369436.754682167,3904927.30876905,2688146.56062073
315,4363,127,377,984206.055801544,708563.937740521,3373867.96219807,2310792.57895811,306998.446250589,3909768.97842223,2786975.94720685
236,495,128,376,788508.121406741,702294.307139304,3574629.54594825,2514759.32177359,350923.333534805,3920529.58054022,2985969.13602199
198,504,129,376,651343.821102499,658474.583440016,3006014.7849196,1940183.824082,299086.521556254,3920651.15863153,3082230.95081278
376,27382,130,376,763278.933893484,526036.273532304,3230957.54055089,2164487.83800057,367923.538799122,3921965.62040947,2842503.06032781
311,54050,131,374,1036702.26957746,704849.568858961,3086926.49534954,2028813.02334178,350430.875637664,3896563.81982616,2712968.89946773
315,642,132,372,1012066.95362352,700221.475257571,3211754.56128096,2161088.64639142,371674.708527377,3872130.31938665,2702944.76176831
314,15646,133,372,981381.974257613,619954.492973518,3237810.65309261,2186551.6650937,373727.888799402,3872130.31938665,2654728.849935
280,517,134,372,974499.005168103,699663.88549147,3009239.49815648,1955572.12660823,353585.787508407,3872153.37104387,2742138.40129251
194,467,135,372,809518.224184012,772009.981878806,3323779.75694965,2270073.11317248,350171.126037588,3872908.25952293,2981170.44769326
315,22290,136,367,979330.049666672,478576.327643183,3158677.27478779,2134864.87850903,460253.111372926,3815744.14348131,2443063.68108795
333,58438,137,365,1366744.35146795,1019276.95062199,3094794.09663921,2090774.21191694,299915.096049349,3794811.57140209,2558060.07081181
187,511,138,364,1035771.68471831,879774.454318463,3311575.91126967,2297849.45449878,310971.652303028,3787926.39791997,2750268.09150041
143,241,139,364,853819.766260503,776387.306288762,3232637.71375755,2216938.14323008,246807.909494844,3792639.07691519,2834005.63566801
231,498,140,364,770441.888902209,718360.341497474,3287762.24493786,2271251.66727464,303765.26364515,3803695.36965196,2871078.41528326
339,60530,141,363,946595.776630992,706662.161341007,3517884.60045727,2522462.15470616,350497.690009747,3790644.50564384,2650487.60311945
187,242,142,363,801918.093750418,888887.796419366,3060344.98061451,2060226.93964616,265269.784332586,3801914.6753679,2989705.704237
235,45115,143,362,1002201.4967665,558308.194372358,2933556.70490518,1936460.1657286,378162.35100995,3792894.46171924,2450739.29028046
245,656,144,361,889645.531035392,871372.95690883,3196135.14763616,2203693.86898097,399413.377870416,3779215.54325627,2856545.39143751
324,23873,145,361,883988.593726313,586648.173910827,3123564.79618194,2129754.89939192,355983.439203122,3779215.54325627,2580240.59372571
293,57164,146,361,1249258.22667835,839564.16132782,3384122.30968014,2392856.50867828,338447.347419928,3780378.48757447,2467952.79699256
234,742,147,361,1146734.66014661,902140.474456775,2889104.412219,1892682.99429023,311048.764729526,3780384.56256577,2633157.36454144
229,380,148,361,1085442.98002806,827756.647852057,3139630.93678597,2142453.9824694,315335.481300128,3783063.15141914,2623958.0102902
233,31242,149,360,1122951.65789056,830635.723789579,3241513.12938582,2254228.89292271,392594.60121424,3772549.74109475,2570947.3061993
296,9007,150,360,1032539.20000376,805335.86587718,3243450.96703926,2254558.99942447,382014.780726948,3775591.07498716,2640158.99699831
274,11918,151,359,958548.233991524,707280.91975742,3050244.1814166,2064793.79982501,389997.165593952,3766619.82058866,2604163.64570094
257,34052,152,359,1047152.44776631,749173.947744968,3331469.06052679,2345799.64645046,394816.915910592,3767021.08626567,2559398.38013274
257,655,153,359,1012676.55140673,782591.673632976,3077779.14862947,2089375.76465123,356201.309412525,3767062.17713707,2627462.61127057
240,10014,154,359,931156.65670311,662892.588659431,2870189.4290348,1879140.75738648,395134.119287791,3769142.28318568,2592744.70258141
208,52750,155,358,1215201.15039684,716403.275656848,2866959.98071805,1888166.5433165,345100.221853517,3757159.33964176,2340428.1590886
275,29336,156,356,1291876.62426778,934487.66203634,3116089.98342899,2150037.39446507,420543.096170309,3734527.85167466,2446797.46392145
174,326,157,353,1113043.56626954,874130.249898359,3138746.29442837,2184669.95055909,328468.654713627,3712870.51125795,2530796.79270148
297,10344,158,353,1092249.72497563,823112.01869254,3258972.35389144,2304536.85901314,447978.38096717,3713582.25945009,2501825.34058075
134,195,159,353,973758.598495739,945875.632965942,3002009.47056542,2044826.51532796,252645.200619645,3715249.06236728,2744789.39490865
237,12602,160,352,967986.605795476,662912.685080426,3174974.55682719,2224943.43569933,466268.702237512,3702442.19770503,2450132.07272663
295,689,161,350,939330.665173657,737382.758845283,2930311.95801502,1991155.41563363,442144.453316344,3675791.89626123,2519692.91477848
233,51453,162,350,1167500.70029889,791551.49050772,3019496.1557203,2097447.95129897,381571.780682316,3675855.72538766,2332166.58099389
188,43458,163,349,1232576.20199469,885313.497505037,2555840.44824034,1663151.46868574,311689.604437406,3666502.88623325,2321729.51788794
261,1200,164,349,1187529.5344215,997990.119752697,3533770.96854935,2640994.04405647,414340.477646537,3680767.59666314,2494566.75579899
129,221,165,348,844098.247564953,1008944.8153502,3250712.95968007,2359732.93969861,241004.821254595,3702224.21434325,2864816.91968117
277,28984,166,346,950631.74594191,627580.483805584,3563123.51978031,2682621.65669327,522992.482120778,3685727.53963161,2353960.89740845
235,45061,167,345,1237780.57277795,821805.946954942,3057983.20024416,2188470.67792301,359973.719467556,3673272.08753258,2234660.99345615
273,28246,168,342,1213618.76852063,909930.146808947,3090774.18742856,2236344.79976958,377925.181985044,3640953.98086464,2299693.71005743
176,266,169,341,1061146.58516023,965776.933522463,3133252.61241724,2280546.3152509,361601.657593871,3634454.19575506,2498782.11090695
286,1052,170,339,1022255.46428705,801220.531570345,3377248.74048285,2534518.421587,413775.903220836,3612293.64034499,2344070.17440775
