"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
2.0,411.0,1.0,40,20084.85898694439,186349.2015700333,658177.5123760105,387211.2868701409,786.504486754317,188263.54012404234,386811.44924135535
28.0,479.0,2.0,40,57461.200896171424,225926.6771293567,624814.7138587987,387041.64633705275,93677.04685622954,216170.81340816812,386571.1071767848
10.0,42.0,3.0,40,34852.76340627776,168949.70307629814,625619.2702986038,387846.2027768576,1807.559392743532,251542.44892764362,387574.2061330954
22.0,425.0,4.0,40,50054.52261148001,180599.4437781459,616930.4458344089,387374.0474317484,75538.85800777147,261810.48677312903,386843.1829917871
13.0,17.0,5.0,40,41005.587704262434,164159.79126079124,617166.1489179407,387609.75051528035,4754.098514531651,269260.3551921188,386903.0724387454
22.0,434.0,6.0,40,45796.159762669486,167476.7434368129,617026.3947423504,387468.7267272251,72413.98511576085,271094.7569713063,387263.85433554754
21.0,22.0,7.0,40,44601.27962281242,162832.5123457083,617031.9654885333,387473.4738504193,15221.085339929414,274393.7623181886,387114.9973015225
26.0,294.0,8.0,40,46423.2908152208,162958.11488203504,616501.4119215496,386936.2443254253,67185.7559367279,275555.9420608788,386586.05778331315
22.0,22.0,9.0,40,45079.97192635578,160659.97055692278,616145.2740756654,386574.4825665124,19305.94578378542,277082.3265412225,387157.61682740983
26.0,293.0,10.0,40,46741.929769908034,160483.5150199602,617035.120977867,387464.329468714,67321.19039789191,279908.2285754101,388145.313984021
22.0,22.0,11.0,40,46038.24317785748,157046.3549645557,616354.6387626835,386776.1325040607,25381.73115666448,281501.3079179336,387016.3122106842
23.0,453.0,12.0,40,51511.480741263455,161211.03191599518,616412.8692554216,386834.1166759063,66597.2667622793,283006.02879182977,387212.47247261385
23.0,23.0,13.0,40,50467.854715120186,158663.43158161535,617138.7830770185,387560.03049750323,26412.4796896922,284175.50388184143,386884.058302842
26.0,274.0,14.0,40,51741.24124436198,158520.9117527262,616464.6058580856,386943.5349264353,68762.89672895594,285757.0167842369,386995.7920046078
26.0,33.0,15.0,40,51071.39509011439,155947.47786718878,616366.4634847807,386843.2818315926,33661.82093672402,287785.1934920681,387120.3809811493
21.0,482.0,16.0,40,55914.83842901277,160664.7807381773,613626.5676504304,386196.90969974594,65440.03086736341,289155.2774317378,386407.7343913089
24.0,24.0,17.0,40,55225.32414360959,159741.5412262021,614643.548139366,387213.89018868137,31828.89097389034,290975.8876022035,387994.6193352026
21.0,359.0,18.0,40,55770.076672085874,159207.40722519206,613303.1914252618,386928.56556515663,66908.07593195591,292236.49982503353,387153.24235514016
26.0,63.0,19.0,40,56281.46655774909,157888.3717450503,612996.0421799428,386618.24543262855,37605.34123271214,293765.97315145895,386855.676219755
32.0,367.0,20.0,40,59334.63084110723,160727.8281727973,612518.9935278937,387053.86167361034,65558.61600424231,295349.63827008853,387341.7149199803
22.0,180.0,21.0,40,67902.55584794504,168464.8761292238,610058.1960876465,386009.6695785794,37974.42451847372,296536.8520050326,386372.02649438736
24.0,406.0,22.0,40,71848.31167940419,174823.19120616055,606752.7594868714,386515.6719447815,55169.941740885144,298806.8850995554,387401.1713429786
23.0,58.0,23.0,40,71423.83215246108,171013.60978222697,606721.0203589995,386482.5919830623,35950.755530940376,301910.172702165,387122.1472891364
26.0,331.0,24.0,40,72923.8944348563,170771.19613435035,605574.9620222013,385960.49639038614,58025.70685789964,303491.9168890136,386383.52800009685
25.0,69.0,25.0,40,73603.32506060785,171437.12869238938,606461.412241465,386846.9466096499,37469.19678422359,304888.1757265271,387766.2887698979
25.0,369.0,26.0,40,74923.00170026063,170922.65496689736,604689.5641564287,385869.93230043363,59482.283591047046,306009.05088311713,386358.56025996484
25.0,62.0,27.0,40,75729.34711774289,170442.7748847515,604838.4827678571,386018.850911862,40363.183223889464,307519.48289068,386582.7969875267
23.0,400.0,28.0,40,77739.27794512054,171633.27331596357,603730.1614648706,385915.45259432093,60328.84793521464,309120.24873546243,386423.2067540344
24.0,133.0,29.0,40,77765.15362531615,170711.22929959782,603849.018349008,386440.86202823126,42030.57103642415,311264.68363546755,387242.8770477714
24.0,360.0,30.0,40,79129.42318845357,170910.11479028442,602746.02464039,386226.6441879665,61355.31264663851,312892.6928860853,386911.96434857755
23.0,132.0,31.0,40,80064.53472497886,170175.70278155743,602409.891399969,385902.87058322126,44560.44696617449,314072.5532022522,386411.8551957327
24.0,396.0,32.0,40,82031.3707700227,172048.73292204321,600504.3886536292,385973.7719503565,62097.75540418395,316056.71705868107,386444.03706476046
25.0,116.0,33.0,40,82507.74211836694,171687.2710894315,600653.0321645901,386121.9398395614,45453.348173967,317461.13501849986,387010.62184362323
24.0,396.0,34.0,40,83226.41746486578,173905.0621293477,598861.8247654415,386620.91941788414,62733.79592486401,318555.23459222,387538.1473104096
25.0,102.0,35.0,40,83062.87885946863,171453.98602289043,598060.4234902821,386784.2825896903,46398.635007240795,321866.16843313223,387662.3565602511
22.0,359.0,36.0,40,84268.18638141778,172398.1216711766,595187.9819489716,386222.9179803202,63177.61731542183,323484.7649896818,386921.9877132682
26.0,37.0,37.0,40,83424.17051077994,169058.69434384836,595016.3105081198,386048.964696636,48476.015620155,326343.63967068895,387286.47513631283
24.0,365.0,38.0,40,84347.8224523787,168459.20824657008,593445.3627429031,385583.45162488875,65550.00623805649,327853.80881937937,386248.62648383126
26.0,136.0,39.0,40,84936.66216444754,168481.35396879388,592817.579745752,385606.2210013741,50687.46218464911,329075.3221922099,386284.10818991886
26.0,365.0,40.0,40,86389.9826095917,170539.4359826011,592617.0867945366,386166.65351522696,65891.70376368413,330841.4843134897,387948.25823388837
25.0,51.0,41.0,40,86292.87966757364,167009.93118114027,592206.9971080918,385754.1195494685,51767.03411422481,332849.43319617136,386537.9087519468
31.0,267.0,42.0,40,86975.24704340957,168581.72110708206,591566.3007507052,386375.30942731944,68234.87631395695,334102.06054791814,387507.3312600089
24.0,174.0,43.0,40,88741.76228110527,170924.6437057169,589580.1272557634,386338.30674300255,51329.20945858607,335333.892665795,387450.0493620144
27.0,364.0,44.0,40,89895.55833913131,172712.8377700761,586191.3760811804,386308.1636295445,66792.09318236946,337453.79708444054,387138.3351625146
20.0,23.0,45.0,40,89823.43104651588,171237.8491390288,586251.6927350761,386368.48028344015,49096.38868699371,339209.9931193075,387491.6698589496
30.0,195.0,46.0,40,90545.127892292,171699.34307215433,584642.9328667868,385958.311976541,69909.66850005646,339941.660965072,386856.38668162416
34.0,177.0,47.0,40,91706.84244201977,172674.5064585525,583730.3398246197,386563.5245980124,50984.41129178463,342464.58163504617,387800.756449425
26.0,436.0,48.0,40,92712.47730298067,174250.60335007872,580454.5579270951,386266.7459861615,68861.20868214167,344214.92544104357,387343.4531256697
23.0,27.0,49.0,40,92524.50212735662,172899.66096320545,580236.1108477596,386046.0039338666,49239.03546125687,345033.6385983585,387002.6075277152
23.0,517.0,50.0,40,94099.92032537264,175840.6606894955,577780.4346787286,386240.8915402411,72085.96507152586,346400.5727530889,387306.6885143866
26.0,187.0,51.0,40,98247.77716654677,183902.8820642406,570164.5550393665,385688.5499765634,45180.684327950694,348041.3223453322,386466.197637629
27.0,234.0,52.0,40,96383.94837435221,175612.17624576576,568679.8949246556,385592.99696871365,70505.81396774517,355738.1717349143,386396.1433021994
30.0,111.0,53.0,40,97811.97863881204,176441.88579801904,568851.3731174679,385764.47516152594,48143.841700259785,356604.0392080267,386663.69006310555
38.0,486.0,54.0,40,99227.15897031865,181466.89167468934,564880.2486280561,386105.30631578516,70717.55708634271,357574.03079569456,387195.5202155029
26.0,30.0,55.0,40,99227.15897031865,180217.0544693643,564556.3530634025,385779.13267859974,43893.34272021478,358313.40599498973,386690.11228874075
33.0,305.0,56.0,40,99878.56256072666,184071.4629920779,561400.8149567472,386234.93100258097,72427.20860823912,359325.8275817978,387401.34666590206
28.0,90.0,57.0,40,99425.45346046609,179886.91808051048,561091.1811210942,385921.7936845885,44552.13356443968,362569.27267529245,386918.1875393553
29.0,384.0,58.0,40,101323.07590021694,181648.28221988713,559914.4667448592,385807.54643028486,74489.96484316846,363522.3290998751,386741.6611223133
27.0,149.0,59.0,40,102383.31138305934,181150.28116263504,559752.77868321,385644.1940573759,46944.89529794204,364825.7358043605,386489.3543543835
30.0,501.0,60.0,40,105036.6814048044,185122.72282032552,557988.9091907311,385795.78829027247,74502.21465101649,365650.8063644857,386815.8719766788
26.0,70.0,61.0,40,105752.3075390053,185120.02363520273,558143.0991365244,385949.97823606577,42854.45095523064,366521.24121144443,386967.9815043138
35.0,176.0,62.0,40,106144.35630219906,184728.22261728378,557870.8612377403,385955.69132759137,78905.99372828519,367564.36023973895,386976.8967411441
27.0,219.0,63.0,40,107308.57576054698,188638.07030207218,555073.9372910808,386381.07102379797,47404.690128611095,368422.7961029505,387640.7050843261
30.0,335.0,64.0,40,106490.94242900069,188358.4809389575,550816.293257634,386159.19841200596,76092.0306945643,371394.98723730573,387297.6517634846
24.0,147.0,65.0,40,107719.88460266798,186315.63405031094,550753.0606209348,386095.175245832,48675.4898606068,374567.11516465293,387198.9773724286
30.0,446.0,66.0,40,109710.48160191889,191423.21677850743,546057.8346852993,385915.52747155697,75431.30335441577,375121.98411197396,386798.7522739531
20.0,295.0,67.0,40,109935.4791638527,194453.18564500846,541941.5064818638,386099.7519680205,46496.89379274497,376393.23364651576,386672.36272239697
29.0,55.0,68.0,40,108618.56086367083,193068.9097928217,542379.9136255282,386538.15911168494,70433.24577940881,377672.0184374465,387883.7899613231
22.0,293.0,69.0,40,109589.75054340722,192604.66977307736,540995.4544380587,385752.3718375842,48531.458803102294,378490.03084049775,386693.46162036486
28.0,373.0,70.0,40,112888.18126188061,196697.6222237634,539923.8648750692,386080.27567765914,72530.14138171065,379557.6748496154,387180.0431605227
22.0,248.0,71.0,40,113026.90515318466,196628.7468039521,539139.5336338318,386007.92414518306,50179.38012710923,380354.3037837593,387116.3133117285
26.0,40.0,72.0,40,112808.97782439666,194550.41410008926,538737.4474661433,385601.59602973156,67218.25056078575,381595.7657747082,386503.49807992077
27.0,34.0,73.0,40,112808.97782439666,194352.9680980305,539119.5442885574,385983.6928521457,54079.217092310355,382389.408452472,387099.69475562574
31.0,47.0,74.0,40,112808.97782439666,192975.6396374839,538705.3981538848,385565.9903518519,72316.96676274843,383144.8467906994,386483.96196125046
29.0,39.0,75.0,40,112808.97782439666,192919.65676180774,538762.4329805165,385623.0251784836,60208.534937581004,383926.9779064908,387210.1102013656
