"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
2.0,336.0,1.0,40,10480.091057532072,173893.46739977904,566512.098592375,311499.2443416282,888.5723072447254,188582.93442744017,395439.259920231
27.0,298.0,2.0,40,15607.474223374275,113233.03745248941,497834.3850262724,242125.3210422367,66645.5432630487,215705.71143453923,357157.045953862
18.0,484.0,3.0,40,49195.12652039471,144300.59935003144,488907.0243361076,233819.12990994353,20002.432828535817,222638.17533262438,360920.86133923626
29.0,173.0,4.0,40,46892.8298415544,147011.36412126274,520243.2858979074,265155.3914717434,38108.19817235094,234220.11442403853,377591.31102241704
24.0,296.0,5.0,40,54385.24434449227,93874.96983056664,444018.89231606206,190828.22308596736,33806.316681440985,238275.96442741458,319176.501038171
25.0,351.0,6.0,40,57698.584881255025,165769.35491734507,522766.1767441546,269472.5145473378,29296.59787655245,252050.58288397707,401534.0996649905
18.0,18.0,7.0,40,50818.119372090514,93009.11513316128,467498.19453563314,213512.9406532861,30109.242915834806,264865.3319909336,349065.92896147125
24.0,657.0,8.0,40,92727.67568582427,132578.5334023382,438724.62300342624,195685.6968392062,34810.75380995562,265625.56607076677,337617.146728253
13.0,52.0,9.0,40,59433.257934749294,169550.3631571423,518143.7141759657,275104.7880117456,8305.098152887836,292007.0575214375,434264.88568480295
13.0,13.0,10.0,40,55153.23209766216,76162.51821695725,446522.20648837456,202818.88056449703,25634.543169534092,296266.0113301313,350256.1081655908
22.0,783.0,11.0,40,112562.0869248408,133184.3509602199,463821.793620453,237894.24113491984,24621.504119937978,296433.96324217616,333594.40907190257
3.0,3.0,12.0,40,90660.95626724751,145840.94036656292,461782.03220532817,235767.559045705,3824.4005581873034,316285.4759374221,388003.64183108474
6.0,6.0,13.0,40,69486.43232506824,129277.39334938566,482107.58367285435,256093.11051323116,7999.735754044076,332417.06719960365,408748.8144882659
25.0,247.0,14.0,40,72995.37928803517,62321.82218985501,416802.8430507613,190032.38849300053,30396.03985134875,333183.0780446243,339740.39144125907
28.0,64.0,15.0,40,75027.12094559737,115205.23946295411,467592.09512321855,240821.64056545793,27524.937517823728,335558.63879054505,392967.6278027166
16.0,51.0,16.0,40,72002.78632008567,70006.9760013622,432730.6584080049,205626.64821779492,25709.88015536358,341077.0057130614,356674.9922447326
24.0,591.0,17.0,40,96954.99322120321,111047.39294515555,456981.55929558125,229877.5491053714,31001.108686177806,341848.72193484777,373534.91850919474
12.0,49.0,18.0,40,95624.41268782559,98290.69818804695,440251.0537844205,212975.09695670434,16556.57826091539,344319.2396867975,364670.06557705364
12.0,87.0,19.0,40,92870.11487391667,98188.31392399732,352005.3908526509,123858.06850170129,19018.08409169094,346287.25594404736,369427.37849909114
26.0,62.0,20.0,40,92854.26548583255,88618.96966254526,415677.7713959562,187530.28574711582,29524.33613839703,346527.415106897,360328.4079796041
