Loans,Loan requests,tick,Banks,Total central bank loans,Total cash & reserve,Total client loans,Total current accounts,Total interbank loans,Total securities,Total term deposits
26,414,1,40,18633.401908295,184606.40243948,560316.3313159,322143.059117595,30010.8019001751,151473.260168569,345606.894157336
35,327,2,40,26321.6441678391,162829.853075629,547438.0855709,317948.616367249,93807.5712480595,194820.928382064,351059.422612613
36,251,3,40,16710.5963443126,132602.726234022,538848.085348968,309201.889328031,23124.4640311232,222897.29159778,358561.829803522
31,235,4,40,28222.1423886502,137486.499960222,542398.398672774,313087.807435374,71098.7471090475,236494.203832847,365223.53055333
14,42,5,40,27218.0340829809,135039.680419892,548290.692312332,318980.101074933,15193.3465146175,248446.930196915,375733.545682738
28,330,6,40,35817.2203646462,126494.906462202,540155.587845055,310759.880980062,65124.4288246651,250857.171462709,361145.705114856
32,79,7,40,35189.5822687575,132937.577083584,544976.664190128,315580.957325135,33889.1688524277,252357.941496063,369716.78386548
26,437,8,40,40474.543690024,115443.559556212,497613.118328841,273761.98944015,53138.6686566787,254632.149768272,344079.459167538
31,103,9,40,36696.467862365,132879.984531415,526915.258967903,303064.130079212,45253.383532759,259384.603967384,370061.897945245
19,37,10,40,31678.8353385932,122446.148179892,526658.485950928,302805.706108131,41027.850694515,264591.786612588,369860.046765043
35,194,11,40,32991.0059444289,120983.25375412,525521.280439835,301656.077985534,47935.4195639554,265905.584562631,368417.300029081
31,431,12,40,36545.1228246201,121744.981257202,524286.022809637,300405.440147432,43911.2137464474,266995.612097483,366731.793254569
31,326,13,40,44192.0887758536,127978.476764707,523605.294934029,299853.816828376,44663.6604795922,267853.487810745,366051.954243415
37,288,14,40,46709.4263906802,107808.85612399,497790.839277892,273898.93823808,46589.4060098412,269705.774011117,345333.91564104
34,38,15,40,46624.9718698929,133775.659534145,522091.384395226,298199.483355414,48313.0745316672,270709.3764618,372388.776022666
21,28,16,40,45102.8873930183,106254.016659121,494421.148950965,270232.005027103,43305.2434494991,273293.070031353,349204.751439897
24,556,17,40,65116.5611688498,116034.199091278,434526.198122731,222945.046089792,36529.5486872452,273828.448160764,327489.027480343
25,27,18,40,60835.3438218395,130971.086978494,463820.964264231,252239.812231292,34397.7990939045,280137.476680064,353016.16123387
14,14,19,40,56794.1316993105,119699.648172099,456974.769522599,245332.232231441,28655.2470094618,283517.224526685,349218.351160576
21,23,20,40,54789.4400719672,136331.854993721,481858.114774335,270215.577483177,38022.7073214263,286745.639363303,371083.664446159
