"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
37.0,399.0,1.0,40,24633.203866892065,227980.9639727997,718871.9243164544,434591.4513378874,13804.940500498675,182203.22618311513,443133.70425638335
25.0,437.0,2.0,40,39266.88930872567,206146.61647802748,720741.6740264152,440564.2996262719,66885.44786038657,229074.1674577845,449937.7390427597
22.0,229.0,3.0,40,38868.059771911605,180024.98478200572,742161.4976703691,461984.123270226,6659.418368125014,271315.4594181766,466456.2288439442
20.0,174.0,4.0,40,44320.45221028594,169208.77123044129,718260.8225507286,444241.4695820907,42550.49430416166,292872.06790791627,465792.3866967016
26.0,114.0,5.0,40,39669.20757735239,127453.40892614739,699138.5958304162,424905.39859920694,22320.23672046533,300391.5148016524,436500.6334515291
27.0,317.0,6.0,40,50284.91398047591,183094.70909352286,738203.3844205668,465753.4510928729,30925.242362969373,309154.6690605835,488641.47508569655
30.0,429.0,7.0,40,55253.23328460483,40997.85309260848,460831.18359959184,185439.29418709033,19763.45171807071,316600.31253273203,350404.3148551078
36.0,978.0,8.0,40,93128.33044607218,193436.086663569,612877.0964402976,338730.5415534273,33671.675596522466,317064.262258851,464248.36054040893
9.0,9.0,9.0,40,74805.19052150141,70342.98347192835,438281.0663180803,162426.7349833363,10873.329699863709,324741.92546804954,368117.3703841006
32.0,463.0,10.0,40,80827.01219005343,174820.14234886732,597354.4983484255,321740.7344133601,34627.79276243546,325969.43266300816,467583.67349044804
0.0,0.0,11.0,40,54426.68093961355,84057.18597772461,557436.2368611268,281460.19204103784,-2.8421709430404007E-13,356194.1133763844,433783.7285326987
23.0,544.0,12.0,40,76354.62006258359,109457.59226154193,561514.9832060946,285538.93838600547,29667.02841614803,356675.63119089865,437737.7135080604
21.0,23.0,13.0,40,75019.40429395321,97609.34330099016,536938.8815422278,260701.67442648686,12190.089140552647,360804.68160736276,431529.3913347515
31.0,505.0,14.0,40,84429.15186615754,96988.96501117907,548817.3701603325,272580.16304459126,27888.980939031273,361263.998312039,422087.3789456002
21.0,21.0,15.0,40,83981.49738679496,114386.53478123757,532959.9294623192,256603.77027524132,5914.023674680107,363838.7514242161,442507.35630719835
24.0,634.0,16.0,40,105639.63340603537,76675.36594822738,482922.104137535,207429.91580496464,18701.558483311957,363838.7514242161,382478.91795180476
22.0,633.0,17.0,40,127619.73653103219,122359.60816642005,491010.20123599336,224907.28084703974,16307.613094764909,363838.7514242161,397194.59746466187
12.0,12.0,18.0,40,112638.72998284046,127722.78391861777,541931.6385505076,275828.7181615541,10817.774877992828,384340.89092574327,438040.9192665787
28.0,39.0,19.0,40,111341.73712113236,80624.16993419708,490443.60770931654,223929.87447806538,15090.679084111443,385321.6509775099,393663.82909732504
33.0,38.0,20.0,40,111341.73712113236,131601.72933958896,550107.0179117877,283593.28468053654,18216.379202533913,385881.5225972749,445201.2601224821
11.0,12.0,21.0,40,108356.44282202571,93098.8105763264,514908.4406416219,247970.3949638526,6225.225702607602,390560.7944762612,414668.237760928
32.0,326.0,22.0,40,118038.81084065304,99491.78497971679,511691.82548526285,244724.49363274928,24613.71537955325,391033.4190639776,411879.35753566015
